trade_time,buy_coin,amount,dollar_user_value,price,live,twitter_id,twitter_screen_name,twitter_status_text,tweet_type,dollar_buy_value,bot_name,type,trade_timestamp,buy_timestamp,hold_coin,dollar_fee,hold_pnl,dollar_pnl,percent_pnl,status_id,exchange,platform
2021-10-26 09:53:59,FTM,15,50,3.4363,0,944686196331966464,HsakaTrades,"L1 2.0™ szn https://t.co/B09chLWlaE

@HsakaTrades: SOL --&gt; LUNA --&gt; AVAX SoLunAvax",,,,,,,,,,,,,,
FTM --&gt; ONE --&gt; NEAR --&gt; SCRT,,,,,,,,,,,,,,,,,,,,,,
FantOnEaRet,,,,,,,,,,,,,,,,,,,,,,
Intra basket rotations,,,,,,,,,,,,,,,,,,,,,,
Inter basket rotation,,,,,,,,,,,,,,,,,,,,,,
L1 1.0,,,,,,,,,,,,,,,,,,,,,,
L1 2.0,,,,,,,,,,,,,,,,,,,,,,
Haiku,,,,,,,,,,,,,,,,,,,,,,
2021-09-15 02:22:28,SUSHI,77,1000,12.9455,1,,,,,996.805,lazy_trade_beta_bot,buy,1631672548869076,,USDT,0.358921,,,,0.0,binance_f,
2021-09-15 02:17:44,UNI,39.75,1000,25.17,1,,,,,1000.51,lazy_trade_beta_bot,buy,1631672264116266,,USDT,0.75085,,,,0.0,binance,
2021-09-15 02:16:36,ETH,0.2941,1000,3401.53,1,,,,,1000.39,lazy_trade_beta_bot,buy,1631672196434998,,USDT,0.750132,,,,,binance,
2021-09-15 02:16:24,BTC,0.02126,1000,47019.5,1,,,,,999.635,lazy_trade_beta_bot,buy,1631672184896941,,USDT,0.749868,,,,,binance,
2021-09-15 02:15:32,ATOM,28.55,1000,33.1335,1,,,,,1000.51,lazy_trade_beta_bot,sell,1631672132892464,1631616652475072,USDT,0.340495,-55.2551,-55.2551,-5.52053,1.437730349086294e+18,binance_f,
2021-09-15 02:15:20,CELR,9278,1000,0.1074,1,,,,,1001.16,lazy_trade_beta_bot,sell,1631672120467385,1631670981999120,USDT,0.358743,-5.42701,-5.42701,-0.541874,0.0,binance_f,
2021-09-15 02:15:17,CELR,10203,1000,0.107349,1,,,,,1000.41,lazy_trade_beta_bot,sell,1631672117395843,1631663031651915,USDT,0.394211,94.124,94.124,9.40517,1.4379230422571622e+18,binance_f,
2021-09-15 02:15:05,HBAR,1874,1000,0.5133,1,,,,,1002.14,lazy_trade_beta_bot,sell,1631672105907494,1631670925510186,USDT,0.721087,-41.6837,-41.6837,-4.15637,1.4379571626138952e+18,binance,
2021-09-15 01:56:21,CELR,9278,1000,0.107907,1,,,,,1001.16,lazy_trade_beta_bot,buy,1631670981999120,,USDT,0.360494,,,,0.0,binance_f,
2021-09-15 01:56:07,XTZ,137.2,1000,7.09132,1,,,,,1000.87,lazy_trade_beta_bot,sell,1631670967460735,1631664241956542,USDT,0.350567,-28.6535,-28.6535,-2.8618,0.0,binance_f,
2021-09-15 01:56:00,SOL,7,1000,157.029,1,,,,,1036.75,lazy_trade_beta_bot,sell,1631670960846347,1631659428865905,USDT,0.39574,61.6883,61.6883,5.94718,1.4379098415116984e+18,binance_f,
2021-09-15 01:55:41,DOT,26.53,1000,36.64,1,,,,,1000.18,lazy_trade_beta_bot,sell,1631670941364651,1631665495664804,USDT,0.729042,-29.5974,-29.5974,-2.9568,0.0,binance,
2021-09-15 01:55:37,BTC,0.02156,1000,47020.5,1,,,,,1000.28,lazy_trade_beta_bot,sell,1631670937441926,1631645113814370,USDT,0.760316,11.9552,11.9552,1.09889,0.0,binance,
2021-09-15 01:55:34,ZEC,7.541,1000,133.174,1,,,,,999.937,lazy_trade_beta_bot,sell,1631670934767068,1631658612881057,USDT,0.753181,2.82097,2.82097,0.28183400000000003,1.4379060717173514e+18,binance,
2021-09-15 01:55:25,HBAR,1874,1000,0.53476,1,944746889194364928,CredibleCrypto,"LETS GOOOOO $HBAR!!
https://t.co/9OSh9Jnord",Original,1002.14,lazy_trade_beta_bot,buy,1631670925510186,,USDT,0.745901,,,,1.4379571626138952e+18,binance,
2021-09-15 01:45:41,ADA,419.8,1000,2.382,1,146008010,CryptoMichNL,"Still consolidating in a fine manner here for #Cardano.
https://t.co/u6XkvAEtbk",Original,999.964,lazy_trade_beta_bot,buy,1631670341083733,,USDT,0.749948,,,,1.4379518030442045e+18,binance,
2021-09-15 00:24:55,DOT,26.53,1000,37.7,1,,,,,1000.18,lazy_trade_beta_bot,buy,1631665495664804,,USDT,0.750003,,,,0.0,binance,
2021-09-15 00:17:12,IOST,13059,1000,0.0766762,1,942966319229566977,Raticoin1,"#IOST $IOST /BTC 4H TF, breakout and printing money
https://t.co/IXUDDgxSss",Original,1001.31,lazy_trade_beta_bot,buy,1631665032044716,,USDT,0.360662,,,,1.4379333763092767e+18,binance_f,
2021-09-15 00:04:01,XTZ,137.2,1000,7.295,1,,,,,1000.87,lazy_trade_beta_bot,buy,1631664241956542,,USDT,0.360257,,,,0.0,binance_f,
2021-09-14 23:59:29,SOL,7,1000,158.521,1,,,,,1035.25,lazy_trade_beta_bot,sell,1631663969245754,1631659421091932,USDT,0.399346,73.6176,73.6176,7.1074399999999995,1.4379098415116984e+18,binance_f,
2021-09-14 23:43:51,CELR,10203,1000,0.0980506,1,942966319229566977,Raticoin1,"#CELR $CELR is breaking out (more) on 1H TF
https://t.co/flMFt2htTb",Original,1000.41,lazy_trade_beta_bot,buy,1631663031651915,,USDT,0.360031,,,,1.4379230422571622e+18,binance_f,
2021-09-14 22:44:50,DOT,27.2,1000,37.85,1,,,,,999.056,lazy_trade_beta_bot,sell,1631659490034789,1631640022129541,USDT,0.77195,28.9356,28.9356,2.8939,1.437828447204696e+18,binance,
2021-09-14 22:44:47,LUNA,28.1,1000,35.01,1,,,,,1000.64,lazy_trade_beta_bot,sell,1631659487576084,1631630556228835,USDT,0.737649,-18.3605,-18.3605,-1.8333599999999999,0.0,binance,
2021-09-14 22:43:48,SOL,7,1000,148.107,1,995500158417711104,LomahCrypto,"@ClayCollins: <i>Dear Solana NFT projects: you're allowed to have a name that doesn't start with Sol"".</i>""",Retweeted,1036.75,lazy_trade_beta_bot,buy,1631659428865905,,USDT,0.373323,,,,1.4379098415116984e+18,binance_f,
2021-09-14 22:43:41,SOL,7,1000,147.893,1,995500158417711104,LomahCrypto,"@ClayCollins: <i>Dear Solana NFT projects: you're allowed to have a name that doesn't start with Sol"".</i>""",Retweeted,1035.25,lazy_trade_beta_bot,buy,1631659421091932,,USDT,0.372729,,,,1.4379098415116984e+18,binance_f,
2021-09-14 22:30:25,LINK,33.8,1000,29.58,1,146008010,CryptoMichNL,"#Chainlink is still following the path here, through which I'm assuming we'll see bullish continuation taking place.
https://t.co/W4A6qJiBVf",Original,999.804,lazy_trade_beta_bot,buy,1631658625722208,,USDT,0.747818,,,,1.437906504217211e+18,binance,
2021-09-14 22:30:12,ZEC,7.541,1000,132.6,1,1566114613,SalsaTekila,People make fun of me when I say ZCASH has the strongest pumpamental.,Original,999.937,lazy_trade_beta_bot,buy,1631658612881057,,USDT,0.750709,,,,1.4379060717173514e+18,binance,
2021-09-14 22:25:02,BTC,0.02129,1000,46965.9,1,,,,,999.903,lazy_trade_beta_bot,buy,1631658302591279,,USDT,0.750947,,,,0.0,binance,
2021-09-14 21:53:16,SOL,3.34,500,150.9,1,,,,,499.479,lazy_trade_beta_bot,buy,1631656396136763,,USDT,0.374236,,,,,binance,
2021-09-14 21:48:38,SOL,7,1000,144.83,1,995500158417711104,LomahCrypto,"Wait, did I miss the meeting where we all agreed to turn on $SOL or something.",Original,1013.81,lazy_trade_beta_bot,buy,1631656118808346,,USDT,0.36493,,,,1.4378894955049902e+18,binance_f,
2021-09-14 21:24:44,SOL,7,1000,144.83,1,,,,,1013.81,lazy_trade_beta_bot,sell,1631654684090211,1631654684090211,USDT,0.36493,,,,1.4378894955049902e+18,binance_f,
2021-09-14 20:59:40,SOL,3.31,500,150.9,1,,,,,499.479,lazy_trade_beta_bot,sell,1631653180971985,1631653180971985,USDT,0.374236,,,,,binance,
2021-09-14 20:19:34,CAKE,49.09,1000,20.37,1,,,,,999.963,lazy_trade_beta_bot,buy,1631650774494196,,USDT,0.748845,,,,0.0,binance,
2021-09-14 18:45:13,BTC,0.02156,1000,46395.3,1,,,,,1000.28,lazy_trade_beta_bot,buy,1631645113814370,,USDT,0.749787,,,,0.0,binance,
2021-09-14 18:44:55,LIT,218.6,1000,4.58032,1,,,,,999.328,lazy_trade_beta_bot,sell,1631645095679469,1631605793118161,USDT,0.750377,0.42534399999999994,0.42534399999999994,0.0425306,1.4376775370486006e+18,binance,
